,brand,product_name,diskon,price
0,SUKO,Suko Fine Katun Kemeja Lengan Pendek Pria,28,179000
1,Nevada,Nevada Boxy French Nickelodeon Spongebob Patrick Sweater Wanita,20,160000
2,Connexion,Connexion Basic Poly Ploi 2 Lower Waistband Celana Panjang Wanita,15,170000
3,Nevada,Nevada Double Strap Buckle Slipper Sandal Pria,15,111000
4,Cole,Cole Graphic Puff Stich Kaos Pria,25,89925
5,SUKO,Suko Graphic Lengan Pendek Raglan Kaos Anak Laki-laki,40,60000
6,Cole,Cole Graphic Hd Saturdays Reg Fit Kaos Pria,25,89925
7,SUKO,Suko Klasik Woven Top Kemeja Oxford Pria,22,179000
8,Cole,Cole Knit Fleace Piping Celana Pendek Pria,25,119920
9,ST. YVES,St. Yves Double Strap Sandal Slipper Wanita,20,120000
10,Nevada,Nevada Sandal Slipper Pria,15,111000
11,Cole,Cole Micro Basic Highneck Jaket Pria,20,239920
12,Cole,Cole Graphic Foaming Abstract Reg Fit Kaos Pria,25,89925
13,Nevada,Nevada Solid Boxy French Terry Jaket Wanita,15,195500
14,Nevada,Nevada Y-Strap Sandal Flip Flops Pria,15,85000
15,Little M,Little M Oversize Cut Sewn Great Crew Sweater Anak Laki-laki,30,85000
16,Little M,Little M Giraffe Outline Print Kaos Lengan Pendek Anak Laki-laki,35,32500
17,Nevada,Nevada Deer Sunshine Kaos Oversize Wanita,15,85000
18,Nevada,Nevada Print Animal Cat Kaos Anak Perempuan,15,51000
19,Cole,Cole Woven Bermuda Cut Pocket Celana Pendek Pria,20,143920
20,Connexion,Connexion Esmic With Elastic Celana Panjang Wanita,50,125000
21,Cole,Cole Stripes Rugby Kaos Polo Pria,20,119920
22,Disney,Disney Toys Story Baju Piyama Anak Laki-laki,50,74900
23,Little M,Little M Korduroy Selutut Jumpsuit Overall Bayi,15,127500
24,Cole,Cole Cut &Sewn Manset Jacquard Kaos Pria,25,112425
25,Cole,Cole Knit Fleace Piping Celana Panjang  Jogger Pria,20,143920
26,Little M,Little M Washing Celana Pendek Anak Laki-laki,50,65000
27,Cole,Cole Stripe Print Kemeja Pria,20,143920
28,Nevada,Nevada Cut Flare Celana Panjang Anak Perempuan,35,129000
29,ST. YVES,St. Yves SCC7 Sepatu Flat Wanita,20,120000
30,Little M,Little M Woven With Pocket Celana Pendek Anak Bayi,15,110500
31,Little M,Little M Textured Knit Celana Panjang Bayi,15,85000
32,Cole,Cole Dobbie Texture Kemeja Pria,20,143920
33,Little M,Little M Non Hoodie Chenille Sweater Anak Bayi,30,110500
34,Cole,Cole Graphic Building Embroidery Kaos Lengan Pendek Pria,25,89925
35,Cole,Cole Solid Slub Pocket Kaos Polo Pria,20,119920
36,Nevada,Nevada Fashion Sandal Slipper Pria,15,111000
37,Nevada,Nevada Fleece Reg Zipper Varsity Kuromi Jaket Wanita,15,195500
38,Character,Character Tom And Jerry Setelan Piyama Anak Laki-laki,50,74900
39,Connexion,Connexion Sandal Slipper Wanita  Vss,30,140000
40,Little M,Little M Tempel Miring Celana Panjang Anak Laki-laki,34,99000
41,Little M,Little M Textured Salur Midi Dress Anak Perempuan,35,84500
42,Disney,Disney Regular Print Stitch Jaket Wanita,15,195500
43,Little M,Little M Rajut Stripe Sweater Anak Bayi,15,110500
44,Nevada,Nevada Bear Lost But Found Kaos Oversize Wanita,15,85000
